time [ms], AccX [g], AccY [g], AccZ [g], GyroX [deg/s], GyroY [deg/s], GyroZ [deg/s]
119335,0.38,0.09,0.96,-59.41,324.76,12.03
119338,0.35,0.08,0.96,-69.99,305.13,22.53
119341,0.33,0.08,0.97,-78.83,287.28,34.77
119344,0.34,0.07,0.96,-85.99,270.34,47.12
119348,0.37,0.06,0.98,-91.38,253.37,62.93
119351,0.43,0.04,0.97,-92.57,243.72,73.32
119354,0.46,0.03,0.97,-91.94,244.75,81.98
119357,0.48,0.04,0.96,-90.08,247.05,89.38
119360,0.49,0.04,0.94,-88.52,252.12,96.28
119363,0.48,0.04,0.93,-85.62,260.90,102.97
119366,0.46,0.06,0.92,-83.45,268.01,109.92
119369,0.43,0.08,0.91,-81.22,274.85,116.91
119372,0.39,0.09,0.91,-79.96,280.12,124.47
119375,0.35,0.09,0.91,-79.24,284.03,132.38
119378,0.30,0.10,0.92,-79.62,285.14,139.69
119382,0.25,0.09,0.91,-80.00,284.11,146.91
119386,0.19,0.08,0.91,-79.09,281.59,155.75
119389,0.15,0.06,0.90,-77.15,279.01,160.65
119392,0.12,0.04,0.90,-74.03,277.85,164.01
119395,0.11,0.01,0.91,-69.28,276.49,164.36
119398,0.10,-0.01,0.91,-64.28,274.75,163.40
119401,0.10,-0.03,0.91,-59.33,272.61,159.63
119404,0.09,-0.06,0.94,-54.84,267.76,154.62
119408,0.08,-0.08,0.96,-49.91,259.60,146.32
119411,0.07,-0.09,0.99,-45.76,246.34,135.99
119414,0.06,-0.11,1.01,-42.43,238.05,124.50
119417,0.06,-0.13,1.03,-39.44,220.55,111.49
119421,0.06,-0.14,1.05,-37.60,202.67,98.09
119440,-0.04,-0.04,1.13,-48.66,76.37,45.86
119443,-0.05,-0.01,1.12,-53.67,55.14,44.80
119446,-0.07,0.01,1.11,-59.15,35.95,45.29
119449,-0.08,0.03,1.10,-64.90,18.00,47.49
119452,-0.09,0.04,1.09,-71.27,0.18,50.53
119455,-0.10,0.04,1.09,-77.70,-18.28,54.21
119458,-0.09,0.05,1.10,-84.60,-38.72,57.77
119461,-0.10,0.03,1.11,-90.98,-60.20,61.05
119464,-0.08,0.02,1.12,-97.42,-84.38,63.28
119467,-0.08,0.01,1.15,-102.96,-111.05,64.67
119470,-0.08,-0.00,1.16,-108.12,-141.28,64.96
119474,-0.08,-0.01,1.15,-114.64,-189.41,64.64
119477,-0.08,-0.02,1.16,-119.31,-222.84,64.13
119480,-0.08,-0.03,1.13,-124.06,-257.18,64.57
119483,-0.08,-0.03,1.09,-127.71,-287.30,65.61
119486,-0.08,-0.03,1.08,-129.89,-316.00,67.87
119490,-0.10,-0.04,1.04,-130.09,-339.54,70.35
119493,-0.10,-0.04,1.01,-129.27,-360.23,74.39
119496,-0.11,-0.05,0.99,-127.77,-378.50,78.21
119499,-0.12,-0.05,0.95,-126.70,-391.57,83.41
119502,-0.13,-0.06,0.89,-125.76,-400.73,89.89
119505,-0.15,-0.05,0.88,-124.02,-406.64,98.04
119509,-0.15,-0.08,0.88,-121.50,-412.70,108.39
119512,-0.14,-0.09,0.91,-120.61,-418.76,111.46
119515,-0.11,-0.10,0.92,-121.28,-426.61,112.64
119518,-0.09,-0.11,0.95,-123.18,-438.03,111.40
119521,-0.06,-0.12,0.96,-127.36,-455.05,107.35
119524,-0.02,-0.13,0.95,-134.31,-471.42,101.19
119527,0.04,-0.15,0.88,-143.42,-481.80,93.22
119530,0.08,-0.17,0.83,-153.51,-483.60,85.12
119533,0.12,-0.18,0.81,-163.18,-482.35,76.32
119537,0.16,-0.19,0.80,-172.31,-479.42,65.90
119540,0.21,-0.19,0.81,-181.16,-476.03,53.67
